employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
100,Steven,King,steven.king@sqltutorial.org,5.151.234.567,1987-06-17,4,24000.00,100,9
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,5.151.234.568,1989-09-21,5,17000.00,100,9
102,Lex,De Haan,lex.de haan@sqltutorial.org,5.151.234.569,1993-01-13,5,17000.00,100,9
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,5.904.234.567,1990-01-03,9,9000.00,102,6
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,5.904.234.568,1991-05-21,9,6000.00,103,6
105,David,Austin,david.austin@sqltutorial.org,5.904.234.569,1997-06-25,9,4800.00,103,6
106,Valli,Pataballa,valli.pataballa@sqltutorial.org,5.904.234.560,1998-02-05,9,4800.00,103,6
107,Diana,Lorentz,diana.lorentz@sqltutorial.org,5.904.235.567,1999-02-07,9,4200.00,103,6
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,5.151.244.569,1994-08-17,7,12000.00,101,10
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,5.151.244.169,1994-08-16,6,9000.00,108,10
110,John,Chen,john.chen@sqltutorial.org,5.151.244.269,1997-09-28,6,8200.00,108,10
111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,5.151.244.369,1997-09-30,6,7700.00,108,10
112,Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,5.151.244.469,1998-03-07,6,7800.00,108,10
113,Luis,Popp,luis.popp@sqltutorial.org,5.151.244.567,1999-12-07,6,6900.00,108,10
114,Den,Raphaely,den.raphaely@sqltutorial.org,5.151.274.561,1994-12-07,14,11000.00,100,3
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,5.151.274.562,1995-05-18,13,3100.00,114,3
116,Shelli,Baida,shelli.baida@sqltutorial.org,5.151.274.563,1997-12-24,13,2900.00,114,3
117,Sigal,Tobias,sigal.tobias@sqltutorial.org,5.151.274.564,1997-07-24,13,2800.00,114,3
118,Guy,Himuro,guy.himuro@sqltutorial.org,5.151.274.565,1998-11-15,13,2600.00,114,3
119,Karen,Colmenares,karen.colmenares@sqltutorial.org,5.151.274.566,1999-08-10,13,2500.00,114,3
120,Matthew,Weiss,matthew.weiss@sqltutorial.org,6.501.231.234,1996-07-18,19,8000.00,100,5
121,Adam,Fripp,adam.fripp@sqltutorial.org,6.501.232.234,1997-04-10,19,8200.00,100,5
122,Payam,Kaufling,payam.kaufling@sqltutorial.org,6.501.233.234,1995-05-01,19,7900.00,100,5
123,Shanta,Vollman,shanta.vollman@sqltutorial.org,6.501.234.234,1997-10-10,19,6500.00,100,5
126,Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,6.501.241.224,1998-09-28,18,2700.00,120,5
145,John,Russell,john.russell@sqltutorial.org,NULL,1996-10-01,15,14000.00,100,8
146,Karen,Partners,karen.partners@sqltutorial.org,NULL,1997-01-05,15,13500.00,100,8
176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,NULL,1998-03-24,16,8600.00,100,8
177,Jack,Livingston,jack.livingston@sqltutorial.org,NULL,1998-04-23,16,8400.00,100,8
178,Kimberely,Grant,kimberely.grant@sqltutorial.org,NULL,1999-05-24,16,7000.00,100,8
179,Charles,Johnson,charles.johnson@sqltutorial.org,NULL,2000-01-04,16,6200.00,100,8
192,Sarah,Bell,sarah.bell@sqltutorial.org,6.505.011.876,1996-02-04,17,4000.00,123,5
193,Britney,Everett,britney.everett@sqltutorial.org,6.505.012.876,1997-03-03,17,3900.00,123,5
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,5.151.234.444,1987-09-17,3,4400.00,101,1
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,5.151.235.555,1996-02-17,10,13000.00,100,2
202,Pat,Fay,pat.fay@sqltutorial.org,6.031.236.666,1997-08-17,11,6000.00,201,2
203,Susan,Mavris,susan.mavris@sqltutorial.org,5.151.237.777,1994-06-07,8,6500.00,101,4
204,Hermann,Baer,hermann.baer@sqltutorial.org,5.151.238.888,1994-06-07,12,10000.00,101,7
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,5.151.238.080,1994-06-07,2,12000.00,101,11
206,William,Gietz,william.gietz@sqltutorial.org,5.151.238.181,1994-06-07,1,8300.00,205,11
